side,movie_title,share_shaver_leaf,share_colloquial,mean_zipf
human,101 Reykjavík,0.5,0.0,4.895
ai,101 Reykjavík,0.0,0.4,4.002
human,12 Angry Men,0.0,0.0,5.035
ai,12 Angry Men,0.0,0.0,4.66
human,17000 Block,1.0,0.0,4.57
ai,17000 Block,0.0,0.0,4.65
human,"20,000 Years in Sing Sing",0.0,0.0,4.489999999999999
ai,"20,000 Years in Sing Sing",0.0,0.0,4.535
human,7 to 10 Days,0.3333333333333333,0.3333333333333333,4.666666666666667
ai,7 to 10 Days,0.0,0.5,4.727500000000001
human,8 Mile,0.0,0.0,5.513333333333333
ai,8 Mile,0.0,0.3333333333333333,4.83
human,A Brief History of Time,0.0,0.0,5.82
ai,A Brief History of Time,0.0,1.0,4.45
human,A Face in the Crowd,,,
ai,A Face in the Crowd,0.0,0.0,4.3675
human,A History of Violence,0.2,0.2,4.518
ai,A History of Violence,0.0,0.5,4.695
human,A Name for Evil,0.0,1.0,4.04
ai,A Name for Evil,0.0,0.4444444444444444,4.383333333333334
human,A Noose Is Waiting for You Trinity,,,
ai,A Noose Is Waiting for You Trinity,0.0,0.0,3.5766666666666667
human,A Series of Unfortunate Events,,,
ai,A Series of Unfortunate Events,0.2,0.2,4.046
human,A Story Written with Water,0.0,0.0,5.82
ai,A Story Written with Water,0.0,0.0,4.65
human,A Touch of Larceny,0.1428571428571428,0.0,4.317142857142857
ai,A Touch of Larceny,0.25,0.25,4.657500000000001
human,ABCD,0.0,0.0,5.82
ai,ABCD,0.0,1.0,4.45
human,Agent Orange,0.0,0.0,4.12
ai,Agent Orange,0.0,1.0,5.22
human,Akkare Akkare Akkare,0.0,0.0,3.23
ai,Akkare Akkare Akkare,0.0,1.0,4.44
human,All About My Mother,1.0,0.0,4.61
ai,All About My Mother,0.0,0.6666666666666666,5.033333333333334
human,All Dogs Go to Heaven,0.25,0.0,5.045
ai,All Dogs Go to Heaven,0.0,0.25,4.48
human,All Monsters Attack,0.0,0.5,4.615
ai,All Monsters Attack,0.3333333333333333,0.0,4.866666666666667
human,All the Way,0.0,0.0,4.46
ai,All the Way,0.25,0.5,4.5075
human,Almost Famous,0.0,0.0,5.35
ai,Almost Famous,0.1666666666666666,0.1666666666666666,4.443333333333333
human,Ants in the Pantry,0.0,0.0,5.82
ai,Ants in the Pantry,,,
human,Back Alley Oproar,0.0,0.5,4.682499999999999
ai,Back Alley Oproar,0.0,0.0,4.77
human,Bangkok Dangerous,0.1428571428571428,0.1428571428571428,4.991428571428571
ai,Bangkok Dangerous,0.0,0.3333333333333333,4.4366666666666665
human,Barbara the Barbarian,,,
ai,Barbara the Barbarian,0.0,0.5,5.375
human,Battle of the Bulge,0.0,0.0,5.53
ai,Battle of the Bulge,0.0,0.0,5.53
human,Battletruck,0.0,0.0,5.006666666666667
ai,Battletruck,0.2,0.2,4.446
human,Beauty and the Beast,0.0,0.5,3.94
