side,movie_title,emo_types,n_nrc_categories,nrc_entropy
human,101 Reykjavík,2,2,1.0
ai,101 Reykjavík,5,1,-0.0
human,12 Angry Men,3,4,1.9182958340544896
ai,12 Angry Men,1,2,1.0
human,17000 Block,1,0,0.0
ai,17000 Block,1,1,-0.0
human,"20,000 Years in Sing Sing",3,4,1.9709505944546688
ai,"20,000 Years in Sing Sing",2,6,2.584962500721156
human,7 to 10 Days,3,2,1.0
ai,7 to 10 Days,4,4,1.9219280948873625
human,8 Mile,2,2,1.0
ai,8 Mile,3,2,1.0
human,A Brief History of Time,1,0,0.0
ai,A Brief History of Time,1,0,0.0
human,A Face in the Crowd,0,0,0.0
ai,A Face in the Crowd,4,4,1.9219280948873625
human,A History of Violence,5,4,1.9502120649147463
ai,A History of Violence,2,1,-0.0
human,A Name for Evil,1,0,0.0
ai,A Name for Evil,7,3,1.584962500721156
human,A Noose Is Waiting for You Trinity,0,0,0.0
ai,A Noose Is Waiting for You Trinity,3,7,2.646439344671016
human,A Series of Unfortunate Events,0,0,0.0
ai,A Series of Unfortunate Events,5,3,1.3709505944546687
human,A Story Written with Water,1,0,0.0
ai,A Story Written with Water,1,1,-0.0
human,A Touch of Larceny,6,5,2.2516291673878226
ai,A Touch of Larceny,4,1,-0.0
human,ABCD,1,0,0.0
ai,ABCD,1,0,0.0
human,Agent Orange,1,1,-0.0
ai,Agent Orange,1,0,0.0
human,Akkare Akkare Akkare,1,1,-0.0
ai,Akkare Akkare Akkare,1,0,0.0
human,All About My Mother,1,0,0.0
ai,All About My Mother,3,0,0.0
human,All Dogs Go to Heaven,4,4,2.0
ai,All Dogs Go to Heaven,3,2,0.9182958340544896
human,All Monsters Attack,2,3,1.584962500721156
ai,All Monsters Attack,3,8,3.0
human,All the Way,1,4,2.0
ai,All the Way,4,1,-0.0
human,Almost Famous,1,3,1.584962500721156
ai,Almost Famous,6,5,2.2516291673878226
human,Ants in the Pantry,1,0,0.0
ai,Ants in the Pantry,0,0,0.0
human,Back Alley Oproar,4,6,2.584962500721156
