metric,n_pairs,human_mean,ai_mean,human_median,ai_median,human_std,ai_std,wilcoxon_p,ks_D,ks_p
word_count,300,219.84333333333333,191.54333333333332,172.0,192.0,139.056828169003,11.68860701718685,0.9821370430894887,0.46,1.4069672003710138e-28
emo_tokens,300,3.1266666666666665,3.0433333333333334,2.0,3.0,3.084748688379181,1.8956354258616013,0.45706164723285453,0.10333333333333336,0.07592064578614581
emo_density,300,0.01441948428425159,0.01590158695535934,0.012435246514265096,0.01485148514851485,0.010744887310927091,0.00991933617878905,0.014677109469251472,0.18333333333333335,6.747957909619788e-05
emo_types,300,2.62,2.8566666666666665,2.0,3.0,2.2358286530694356,1.688874342287097,0.0203907096042061,0.12,0.024274615700093333
emo_ttr,263,0.9116925216735102,0.9587950389281188,1.0,1.0,0.16771572205972218,0.10441077220862614,0.00033083419810027865,0.10646387832699622,0.09482662567385791
n_nrc_categories,300,2.4266666666666667,2.4233333333333333,2.0,2.0,2.2601585366795196,2.1336895257267887,0.9749580779123611,0.11333333333333334,0.039094161437612476
nrc_entropy,300,1.062232612145875,0.9971229742094431,1.0,0.9182958340544896,1.013980148861938,1.0112390332379926,0.3831203690036817,0.07333333333333336,0.3823164458071576
ambivalent,300,0.23,0.24,0.0,0.0,0.4215356541175464,0.4277967197686491,0.763024600552995,0.010000000000000009,0.9999999999999997
mean_tier,219,1.1561306907197317,1.160366383996521,1.0,1.0,0.3270286017188238,0.2656370949670569,0.42971163008075364,0.0730593607305936,0.5868881430733601
share_tier1,263,0.7737133905384855,0.5526570704327358,1.0,0.5,0.3062175596948891,0.32732189751285806,2.6273167285093725e-13,0.38022813688212925,2.5857937180752908e-17
share_tier2,263,0.08703415300373475,0.07955217574989439,0.0,0.0,0.20278906277465011,0.15888626293404107,0.9682654907726598,0.049429657794676785,0.8976197721421167
share_tier3,263,0.02538429040330181,0.01174180698895528,0.0,0.0,0.11322766364478826,0.055614397197200016,0.14212653214831494,0.03041825095057038,0.9996484719626604
share_untiered,263,0.11386816605447785,0.3560489468284144,0.0,0.3333333333333333,0.22948048062804877,0.32305940129565164,1.2023521755771642e-16,0.4524714828897338,2.428374180772303e-24
tier_specificity,263,1.0239345677558607,0.7469868428993904,1.0,0.8,0.3945748828821171,0.40874005017952625,5.946620761798143e-12,0.3460076045627377,2.0687882695610832e-14
mean_zipf,263,4.753662670873698,4.590116271350112,4.735,4.54,0.5609916384113695,0.32862316183483,0.0001050117179471098,0.26615969581749044,1.0609533710320965e-08
share_shaver,263,0.41473323887772556,0.16682207737340818,0.38461538461538464,0.0,0.3614611255365569,0.22341053365518207,3.988657631072447e-17,0.32319391634980993,1.2564201685250443e-12
share_shaver_leaf,263,0.15276638232911996,0.07523387048101877,0.0,0.0,0.2571549548399557,0.14289650369667298,9.43922518250501e-05,0.11787072243346008,0.047648080707211035
share_colloquial,263,0.11386816605447785,0.3560489468284144,0.0,0.3333333333333333,0.22948048062804877,0.32305940129565164,1.2023521755771642e-16,0.4524714828897338,2.428374180772303e-24
mean_trend,219,114.81939578939578,77.58799141117632,52.21666666666667,51.0,397.46765604115876,232.7034263897867,0.9298110542592632,0.1141552511415525,0.10725771691046174
