Phrase,first_val,last_val,net_change,pct_change,direction
abandoned,2.5878601677091368e-5,2.1034249584772624e-5,-4.844352092318744e-6,-18.71952802073974,падает
abject,1.428026848770969e-6,1.63919339063961e-6,2.1116654186864081e-7,14.787294934292113,растёт
abysmal,1.8825410822128932e-7,4.2402180094375747e-7,2.3576769272246814e-7,125.23906912317018,растёт
accomplished,3.873413251395422e-5,1.8220369383925572e-5,-2.051376313002865e-5,-52.960429984170766,падает
accursed,1.3776475084755062e-6,1.0012047265594115e-6,-3.764427819160947e-7,-27.325043568848994,падает
adoration,1.6835921004795553e-6,1.5369117921760667e-6,-1.4668030830348867e-7,-8.712342393487601,падает
adrift,1.0693170586571135e-6,1.0659348648997282e-6,-3.3821937573852387e-9,-0.3162947537405527,падает
affection,2.061423715944825e-5,1.2359668455081357e-5,-8.254568704366895e-6,-40.0430471451306,падает
afraid,2.5622776692299258e-5,4.997782227953642e-5,2.435504558723716e-5,95.05232738712856,растёт
aggravated,3.138137117275619e-6,2.419594569470395e-6,-7.185425478052241e-7,-22.89710490499626,падает
aggravation,9.132369107398766e-7,6.785881355013275e-7,-2.346487752385491e-7,-25.69418433256753,падает
aggressive,4.323061396214391e-6,1.568243144654182e-5,1.1359370050327428e-5,262.76217266482905,растёт
aghast,8.426573003816884e-7,1.1567585715965834e-6,3.1410127121489495e-7,37.275090487274035,растёт
agitated,4.048181257200088e-6,4.441014838944697e-6,3.928335817446085e-7,9.703952387159427,растёт
agitation,1.0816720201877285e-5,5.015367605665233e-6,-5.801352596212052e-6,-53.63319460926061,падает
agony,4.959151200719961e-6,6.573927707491252e-6,1.6147765067712907e-6,32.56155018094347,растёт
agreeable,1.2080090362525715e-5,4.444907765652963e-6,-7.635182596872752e-6,-63.20468115502062,падает
alarm,1.3262216353640808e-5,1.4411398131580261e-5,1.1491817779394538e-6,8.66508091329678,растёт
alien,8.149792806348573e-6,1.1681708449693609e-5,3.5319156433450356e-6,43.337490010711974,растёт
alienated,1.7814716929106824e-6,2.7072005237145773e-6,9.257288308038949e-7,51.96427394764718,растёт
alienation,3.1335660795858447e-6,4.0810684202535246e-6,9.475023406676799e-7,30.237190364050303,растёт
alive,2.2230419993072495e-5,4.0970883260756224e-5,1.874046326768373e-5,84.30098609708536,растёт
amazement,3.3475711130780508e-6,4.568502555974357e-6,1.220931442896306e-6,36.472158518947026,растёт
amused,4.4950178645112e-6,6.88508610189522e-6,2.3900682373840194e-6,53.17149585219549,растёт
amusement,8.119340774018466e-6,6.935583356111734e-6,-1.1837574179067323e-6,-14.57947696560174,падает
anger,9.82372371667721e-6,3.943124730457467e-5,2.960752358789746e-5,301.3879913747407,растёт
angry,1.1637757035549095e-5,3.63563960325502e-5,2.4718638997001108e-5,212.40036994667184,растёт
anguish,4.146143820352418e-6,5.05749362260262e-6,9.113498022502018e-7,21.980660626787856,растёт
animated,4.7452284971686e-6,5.254262842671861e-6,5.090343455032613e-7,10.727288386786723,растёт
annihilated,1.4005111820965381e-6,1.020514435946428e-6,-3.7999674615011014e-7,-27.132717753903425,падает
annoyance,4.92602004504244e-6,3.6523040927766654e-6,-1.2737159522657748e-6,-25.85689746731027,падает
antagonistic,2.5334696312546097e-6,1.944895809008978e-6,-5.885738222456318e-7,-23.231927274145452,падает
anticipatory,2.743949339260739e-7,1.1309462851469023e-6,8.565513512208285e-7,312.1600457286855,растёт
anxiety,1.2669260864971545e-5,3.416540361782113e-5,2.1496142752849582e-5,169.6716405317925,растёт
anxious,2.5325247572089378e-5,1.9368143429429356e-5,-5.957104142660022e-6,-23.522392528258116,падает
apathetic,7.160137753006975e-7,6.596460066661662e-7,-5.6367768634531304e-8,-7.872441924858088,падает
apologetic,8.186343827467433e-7,2.023375145654427e-6,1.2047407629076836e-6,147.16469138096147,растёт
apprehension,7.206107842317909e-6,4.853872558834899e-6,-2.35223528348301e-6,-32.642243704285065,падает
apprehensive,1.3573239915455237e-6,1.7437140513720806e-6,3.8639005982655684e-7,28.46704708922089,растёт
ardent,6.3659549596195575e-6,2.6367576372815e-6,-3.7291973223380577e-6,-58.580328418800534,падает
arousal,3.4261729130559034e-8,5.144609820655949e-6,5.11034809152539e-6,14915.616407017013,растёт
ashamed,7.625212302545234e-6,9.464069245785305e-6,1.8388569432400717e-6,24.115485186245582,растёт
assured,2.563496689783113e-5,1.7796390900250778e-5,-7.838575997580353e-6,-30.5776716186965,падает
astonishment,5.6989967395731416e-6,4.88925537535e-6,-8.097413642231413e-7,-14.208489690832696,падает
attraction,7.691452248598745e-6,1.1045903937139718e-5,3.3544516885409727e-6,43.6127220207614,растёт
averse,1.93534545318967e-6,1.713477507275291e-6,-2.2186794591437908e-7,-11.463997063093588,падает
awful,9.820809364927383e-6,1.4060040154039267e-5,4.239230789111884e-6,43.16579857716473,растёт
bad,7.485724001360887e-5,1.1106525793862106e-4,3.6208017925012186e-5,48.36942681620329,растёт
bereaved,9.999366894093824e-7,1.2542688885084565e-6,2.543321990990741e-7,25.434830204029886,растёт
berserk,7.163994185755872e-9,4.532128188698566e-7,4.4604882468410073e-7,6226.258887409163,растёт
bewildered,2.526714318016523e-6,3.398391630650043e-6,8.7167731263352e-7,34.498451463946616,растёт
bitterness,4.840773354689273e-6,4.8301755503582005e-6,-1.0597804331072598e-8,-0.21892791821799445,падает
blessed,1.2488527483417949e-5,1.3352943328341512e-5,8.644158449235632e-7,6.921679486002811,растёт
bliss,2.9604722261534664e-6,3.816563404060699e-6,8.560911779072327e-7,28.9173858935184,растёт
blissful,7.637784785236529e-7,1.3747143363864531e-6,6.1093585786280025e-07,79.98861908805154,растёт
caring,4.352279120212188e-6,1.3092722176886376e-5,8.740443056674188e-6,200.82450631631508,растёт
cautious,4.147720264055269e-6,6.927403402104656e-6,2.7796831380493874e-6,67.01713136583764,растёт
charmed,2.38583515965729e-6,1.7476809055303668e-6,-6.381542541269234e-7,-26.747625524078124,падает
cheerful,8.436917513873512e-6,6.485177312821509e-6,-1.9517402010520027e-6,-23.13333273488329,падает
cheerfulness,1.989851398320752e-6,9.239215821501354e-7,-1.0659298161706168e-6,-53.56831254183913,падает
cheery,1.4062627335740465e-6,1.3385679990692139e-6,-6.769473450483266e-8,-4.813804198080756,падает
chicken,4.443707728734642e-6,1.907263437963345e-5,1.4628926650898807e-5,329.2054190761199,растёт
combative,2.733406848743801e-7,6.733392917174735e-7,3.999986068430934e-7,146.33701785993614,растёт
committed,4.284018756483089e-5,3.462202882722274e-5,-8.21815873760815e-6,-19.183293082392435,падает
compassion,3.2637369506780734e-6,1.1529040917098014e-5,8.26530396641994e-6,253.24663388398204,растёт
concerned,6.107931502893652e-5,6.422217649577016e-5,3.142861466833637e-6,5.145541441230466,растёт
confident,8.194866040867055e-6,1.680003267458894e-5,8.605166633721886e-6,105.0068004871428,растёт
confined,3.6421014308209784e-5,1.2996343850152863e-5,-2.3424670458056923e-5,-64.31635939578072,падает
contempt,1.4473712326434907e-5,7.815208887636386e-6,-6.658503438798521e-6,-46.004116211687965,падает
contemptuous,1.7943932562047848e-6,1.296596048467274e-6,-4.977972077375108e-7,-27.74181222628825,падает
content,3.223499929431868e-5,1.1677241392052647e-4,8.453741462620779e-5,262.25350233250117,растёт
contentment,2.058348844581236e-6,2.486445447919488e-6,4.2809660333825185e-7,20.798058816184124,растёт
convinced,2.0054435067736037e-5,2.3958120436873287e-5,3.90368536913725e-6,19.46544670020436,растёт
crabby,3.6008232961005538e-9,1.4270821227765654e-7,1.3910738898155597e-7,3863.2106477482466,растёт
cranky,1.676815460624229e-7,7.816085743880566e-7,6.139270283256337e-7,366.12676990531014,растёт
crazed,4.468334525013647e-7,1.316029356117228e-6,8.691959036158634e-7,194.5234625451882,растёт
crazy,2.4894412407857915e-6,2.3781232977688145e-5,2.1291791736902354e-5,855.2839644522642,растёт
cross,7.324408943532035e-5,7.818336333994839e-5,4.939273904628038e-6,6.743580188801121,растёт
crushed,1.2309536362987604e-5,9.619822032453323e-6,-2.6897143305342812e-6,-21.850655063026846,падает
cursed,3.0991617140071783e-6,7.022915476475398e-6,3.92375376246822e-6,126.60693840964026,растёт
dark,7.863227669572966e-5,1.1504357230891897e-4,3.641129561318931e-5,46.30578833941702,растёт
defeat,1.7601310405139387e-5,1.637487093830714e-5,-1.2264394668322468e-6,-6.967887268632795,падает
defeated,1.5567736971371975e-5,1.0610420924256852e-5,-4.957316047115123e-6,-31.843523925354695,падает
defenseless,4.390942649479257e-7,8.876091845360695e-7,4.485149195881438e-7,102.1454743075124,растёт
degrading,1.6536899713835076e-6,2.2504914754377254e-6,5.968015040542178e-7,36.08908044322979,растёт
dejection,5.872057820190755e-7,4.506422147766319e-7,-1.3656356724244356e-7,-23.256509289277957,падает
delight,1.9138871059774168e-5,1.4298719179350883e-5,-4.840151880423285e-6,-25.28964151180397,падает
delighted,9.746691334426446e-6,9.531129266675139e-6,-2.1556206775130704e-7,-2.2116435245047392,падает
delirious,1.1181228904371727e-6,9.94093976590772e-7,-1.240289138464008e-7,-11.092601261200096,падает
delusional,1.9770449842905113e-7,1.184488444943616e-6,9.86783946514565e-7,499.12063425743713,растёт
demented,4.253834953777352e-7,8.452024231205129e-7,4.198189277427777e-7,98.69187034865652,растёт
demoralized,8.411753872844036e-7,5.312444593321495e-7,-3.099309279522541e-7,-36.84498294140715,падает
dependent,2.398056775828908e-5,4.463112583669665e-5,2.0650558078407567e-5,86.1137162662445,растёт
depressed,8.42983924733496e-6,9.62322957837552e-6,1.1933903310405594e-6,14.156738889390352,растёт
depression,1.5100216924937824e-5,2.861612698655914e-5,1.3515910061621318e-5,89.50805229360618,растёт
desire,8.858155210460113e-5,6.866305987138979e-5,-1.991849223321134e-5,-22.48605015375061,падает
despair,1.0916859371883964e-5,1.1990693978573704e-5,1.07383460668974e-6,9.836479248375847,растёт
despairing,1.534550888622603e-6,1.1592530726871204e-6,-3.752978159354825e-7,-24.456524623458133,падает
disappointed,7.74223334784355e-6,1.1712159159122331e-5,3.969925811278781e-6,51.276235588850184,растёт
disappointment,7.74718393420864e-6,1.0059556436978958e-5,2.3123725027703177e-6,29.8479101878523,растёт
disconnected,2.5463583700581114e-6,3.5515480993291764e-6,1.005189729271065e-6,39.4755797569894,растёт
discontent,4.404464603298535e-6,2.86116569854626e-6,-1.5432989047522745e-6,-35.039421218108714,падает
disgraced,1.4153650805713947e-6,1.0196725125669301e-6,-3.956925680044645e-7,-27.956925985818454,падает
disgruntled,1.8102087424991128e-7,1.2218955382856869e-6,1.0408746640357756e-6,575.0025616376039,растёт
disgust,3.990208411282352e-6,6.872438668572365e-6,2.882230257290013e-6,72.23257434725664,растёт
disheartened,8.680798270109914e-7,5.609774379164182e-7,-3.071023890945732e-7,-35.377206051660124,падает
dislike,5.234399106319126e-6,5.044810512283055e-6,-1.8958859403607066e-7,-3.621974369650063,падает
dismay,2.5000174859583653e-6,3.86613165078002e-6,1.366114164821655e-6,54.644184390492946,растёт
dispassionate,6.157077905299957e-7,6.725757037367491e-7,5.686791320675344e-8,9.23618542455051,растёт
displeased,1.7091559811888146e-6,1.5486528106769335e-6,-1.6050317051188112e-7,-9.390785409781154,падает
