bigram,count
really hope,50
really love,36
absolutely love,18
so love,15
fucking love,15
really hate,13
too love,11
too hope,8
so hope,7
damn love,7
fucking hate,6
really hurt,6
so hate,4
so shock,4
deeply love,3
seriously love,3
damn shame,3
damn hope,3
so worry,3
really horror,2
literally hate,2
absolutely hate,2
really surprise,2
freaking love,2
so surprise,2
totally love,2
so hurt,2
pretty worry,1
so liking,1
too joy,1
very compassion,1
super love,1
pretty love,1
totally regret,1
too sympathy,1
too shame,1
too suffering,1
extremely love,1
pretty alarm,1
really shame,1
pretty anxiety,1
so joy,1
completely shock,1
freaking hate,1
very horror,1
totally shock,1
pretty hope,1
too shock,1
extremely shock,1
so rage,1
absolutely shock,1
too caring,1
very caring,1
seriously hurt,1
seriously hope,1
really worry,1
fucking hope,1
seriously regret,1
really regret,1
totally shame,1
very love,1
too horror,1
too hurt,1
really shock,1
too surprise,1
too hate,1
seriously relief,1
fucking disappointment,1
very hope,1
really pity,1
