word,source,tier,zipf,primary,secondary,nrc_emotions
abandoned,nrc,1,4.4,,,anger|fear|sadness
abject,nrc,3,3.0,,,disgust
abysmal,nrc,3,2.92,,,sadness
accomplished,nrc,1,4.15,,,joy
accursed,nrc,3,2.64,,,anger|fear|sadness
adoration,shaver,3,3.11,love,affection,
adrift,nrc,3,3.06,,,anticipation|fear|sadness
affection,shaver,2,3.92,love,affection,
afraid,nrc,1,4.7,,,fear
aggravated,nrc,2,3.47,,,anger
aggravation,shaver,3,2.76,anger,irritation,
aggressive,nrc,1,4.32,,,anger|fear
aghast,nrc,3,2.64,,,disgust|fear|surprise
agitated,nrc,2,3.35,,,anger
agitation,shaver,2,3.19,anger,irritation,
agony,shaver,2,3.6,sadness,suffering,
agreeable,nrc,2,3.19,,,trust
alarm,shaver,1,4.28,fear,horror,
alien,nrc,1,4.29,,,disgust|fear
alienated,nrc,2,3.29,,,sadness
alienation,shaver,2,3.16,sadness,neglect,
alive,nrc,1,4.76,,,anticipation|joy|trust
alone,goemotions,1,5.16,,,
amazement,shaver,3,3.0,surprise,surprise,
amused,nrc,2,3.53,,,joy
amusement,shaver,2,3.74,joy,cheerfulness,
anger,shaver,1,4.42,anger,rage,
angry,nrc,1,4.66,,,anger|disgust
anguish,shaver,2,3.37,sadness,suffering,
animated,nrc,1,4.07,,,joy
annihilated,nrc,3,2.97,,,anger|fear|sadness
annoyance,shaver,2,3.33,anger,irritation,
annoyed,goemotions,2,3.95,,,
antagonistic,nrc,3,3.02,,,anger|disgust
anticipatory,nrc,3,2.39,,,anticipation
anxiety,shaver,1,4.45,fear,nervousness,
anxious,nrc,1,4.09,,,anticipation|fear
apathetic,nrc,3,2.84,,,sadness
apologetic,nrc,3,2.99,,,trust
appreciate,goemotions,1,4.74,,,
apprehension,shaver,3,3.09,fear,nervousness,
apprehensive,nrc,3,3.03,,,anticipation|fear
ardent,nrc,2,3.28,,,anticipation|joy
arousal,shaver,3,3.12,love,lust,
ashamed,nrc,1,4.06,,,disgust|sadness
assured,nrc,1,4.07,,,trust
astonishment,shaver,3,2.86,surprise,surprise,
attraction,shaver,1,4.11,love,affection,
averse,nrc,3,3.06,,,anger|disgust|fear
awful,nrc,1,4.46,,,anger|disgust|fear|sadness
awkward,slang,1,4.29,,,
bad,nrc,1,5.53,,,anger|disgust|fear|sadness
bereaved,nrc,3,2.9,,,sadness
berserk,nrc,3,3.01,,,anger
bewildered,nrc,3,3.1,,,fear|surprise
bitterness,shaver,2,3.45,anger,rage,
blessed,nrc,1,4.23,,,joy
bliss,shaver,2,3.78,joy,cheerfulness,
blissful,nrc,3,3.0,,,joy
caring,shaver,1,4.2,love,affection,
cautious,nrc,2,3.79,,,anticipation|fear|trust
charmed,nrc,2,3.25,,,joy
cheerful,nrc,2,3.6,,,joy|surprise
cheerfulness,shaver,3,2.3,joy,cheerfulness,
cheery,nrc,3,3.01,,,anticipation|joy
chicken,nrc,1,4.63,,,fear
combative,nrc,3,2.88,,,anger|fear
committed,nrc,1,4.65,,,trust
compassion,shaver,1,3.95,love,affection,
concerned,nrc,1,4.75,,,fear|sadness
confident,nrc,1,4.43,,,joy|trust
